,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS
0,201985,A.J. Price,1610612739,CLE,28.0,26,11,15,0.423,12.4,2.0,5.3,0.372,0.6,2.2,0.263,0.6,0.9,0.667,0.2,1.0,1.2,1.8,0.5,0.3,0.0,0.2,0.6,1.2,5.1,-2.5,0,0,5,"201985,1610612739"
1,201166,Aaron Brooks,1610612741,CHI,30.0,82,50,32,0.61,23.0,4.2,10.0,0.421,1.5,3.8,0.387,1.8,2.1,0.833,0.4,1.6,2.0,3.2,1.9,0.7,0.2,0.6,2.3,1.8,11.6,2.6,1,0,5,"201166,1610612741"
2,203932,Aaron Gordon,1610612753,ORL,19.0,47,14,33,0.298,17.0,2.0,4.4,0.447,0.3,1.0,0.271,0.9,1.3,0.721,1.0,2.6,3.6,0.7,0.8,0.4,0.5,0.3,1.8,1.1,5.2,-3.5,1,0,5,"203932,1610612753"
3,203940,Adreian Payne,1610612750,MIN,24.0,32,7,25,0.219,23.1,2.8,6.9,0.414,0.0,0.3,0.111,0.9,1.4,0.652,1.5,3.6,5.1,0.9,1.4,0.6,0.3,0.3,2.8,1.3,6.7,-7.7,3,0,5,"203940,1610612750"
4,201143,Al Horford,1610612737,ATL,29.0,76,56,20,0.737,30.5,6.8,12.7,0.538,0.1,0.5,0.306,1.4,1.9,0.759,1.7,5.4,7.2,3.2,1.3,0.9,1.3,0.5,1.6,1.7,15.2,3.8,14,1,5,"201143,1610612737"
5,2744,Al Jefferson,1610612766,CHA,30.0,65,25,40,0.385,30.6,7.5,15.5,0.481,0.0,0.1,0.4,1.7,2.5,0.655,1.5,6.9,8.4,1.7,1.0,0.7,1.3,0.8,2.1,2.1,16.6,-1.8,22,0,5,"2744,1610612766"
6,202329,Al-Farouq Aminu,1610612742,DAL,24.0,74,45,29,0.608,18.5,2.0,4.8,0.412,0.5,1.7,0.274,1.1,1.6,0.712,1.5,3.1,4.6,0.8,0.7,0.9,0.8,0.3,1.9,1.3,5.6,1.4,4,0,5,"202329,1610612742"
7,101187,Alan Anderson,1610612751,BKN,32.0,74,35,39,0.473,23.6,2.6,5.9,0.443,1.0,2.8,0.348,1.1,1.4,0.812,0.4,2.3,2.8,1.1,0.8,0.8,0.1,0.4,2.0,1.7,7.4,-0.8,0,0,5,"101187,1610612751"
8,202692,Alec Burks,1610612762,UTA,23.0,27,9,18,0.333,33.3,4.5,11.1,0.403,1.0,2.5,0.382,3.9,4.8,0.822,0.7,3.5,4.2,3.0,1.9,0.6,0.2,0.9,2.4,3.6,13.9,-4.8,2,0,5,"202692,1610612762"
9,203945,Alex Kirk,1610612739,CLE,23.0,5,2,3,0.4,2.8,0.2,0.8,0.25,0.0,0.0,0.0,0.4,0.4,1.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.8,-2.8,0,0,5,"203945,1610612739"
10,203458,Alex Len,1610612756,PHX,22.0,69,35,34,0.507,22.0,2.6,5.1,0.507,0.0,0.0,0.333,1.1,1.5,0.702,2.1,4.5,6.6,0.5,1.1,0.5,1.5,0.4,3.1,1.5,6.3,-0.4,10,0,5,"203458,1610612756"
11,203144,Alexey Shved,1610612752,NYK,26.0,42,10,32,0.238,18.3,3.2,8.0,0.397,1.1,3.3,0.338,2.9,3.6,0.807,0.5,1.8,2.4,2.5,1.1,0.7,0.1,0.6,1.1,2.4,10.3,-3.1,2,0,5,"203144,1610612752"
12,201582,Alexis Ajinca,1610612740,NOP,27.0,68,41,27,0.603,14.1,2.7,4.8,0.55,0.0,0.0,0.0,1.2,1.5,0.818,1.5,3.1,4.6,0.7,1.0,0.3,0.8,0.3,2.2,1.3,6.5,-0.2,5,0,5,"201582,1610612740"
13,203459,Allen Crabbe,1610612757,POR,23.0,51,36,15,0.706,13.4,1.2,3.0,0.412,0.6,1.7,0.353,0.2,0.3,0.75,0.1,1.3,1.4,0.8,0.3,0.4,0.3,0.0,1.5,0.4,3.3,-0.5,0,0,5,"203459,1610612757"
14,202087,Alonzo Gee,1610612757,POR,28.0,54,21,33,0.389,12.2,1.6,3.4,0.468,0.2,0.6,0.371,1.0,1.4,0.701,0.7,1.1,1.7,0.5,0.6,0.6,0.1,0.4,1.1,0.9,4.5,-1.8,0,0,5,"202087,1610612757"
15,2405,Amar'e Stoudemire,1610612742,DAL,32.0,59,19,40,0.322,21.1,4.6,8.3,0.557,0.0,0.1,0.0,2.3,3.2,0.72,1.9,3.7,5.6,0.8,1.3,0.5,0.6,0.7,2.7,3.2,11.5,-1.0,4,0,5,"2405,1610612742"
16,101161,Amir Johnson,1610612761,TOR,28.0,75,44,31,0.587,26.4,4.0,6.9,0.574,0.3,0.6,0.413,1.1,1.7,0.612,2.1,4.0,6.1,1.6,1.5,0.6,0.8,0.7,3.0,1.7,9.3,0.8,6,0,5,"101161,1610612761"
17,2760,Anderson Varejao,1610612739,CLE,32.0,26,16,10,0.615,24.4,4.3,7.7,0.555,0.0,0.1,0.0,1.3,1.7,0.733,2.2,4.3,6.5,1.3,1.3,0.7,0.6,0.6,2.2,1.8,9.8,0.2,2,0,5,"2760,1610612739"
18,203958,Andre Dawkins,1610612748,MIA,23.0,4,2,2,0.5,5.4,0.3,1.5,0.167,0.3,1.5,0.167,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.0,0.8,0.0,0.8,-1.0,0,0,5,"203958,1610612748"
19,203083,Andre Drummond,1610612765,DET,21.0,82,32,50,0.39,30.5,6.0,11.7,0.514,0.0,0.0,0.0,1.7,4.5,0.389,5.3,8.1,13.5,0.7,1.5,0.9,1.9,0.7,3.5,3.3,13.8,-0.7,48,0,5,"203083,1610612765"
20,2738,Andre Iguodala,1610612744,GSW,31.0,77,64,13,0.831,26.9,3.0,6.4,0.466,1.0,2.8,0.349,0.9,1.5,0.596,0.6,2.8,3.3,3.0,1.1,1.2,0.3,0.1,1.3,1.7,7.8,5.7,0,0,5,"2738,1610612744"
21,1889,Andre Miller,1610612758,SAC,39.0,81,44,37,0.543,15.5,1.8,3.6,0.5,0.1,0.4,0.206,0.7,1.0,0.753,0.5,1.4,1.9,3.5,1.3,0.4,0.1,0.4,1.3,1.1,4.4,-1.6,1,0,5,"1889,1610612758"
22,203460,Andre Roberson,1610612760,OKC,23.0,67,41,26,0.612,19.2,1.4,3.0,0.458,0.3,1.3,0.247,0.3,0.7,0.479,0.9,2.9,3.8,1.0,0.7,0.8,0.4,0.3,2.1,0.5,3.4,1.5,1,0,5,"203460,1610612760"
23,200745,Andrea Bargnani,1610612752,NYK,29.0,29,5,24,0.172,27.1,5.7,12.4,0.454,0.5,1.4,0.366,3.0,3.7,0.813,1.1,3.3,4.4,1.6,1.4,0.1,0.9,0.2,1.8,3.5,14.8,-9.3,2,0,5,"200745,1610612752"
24,1905,Andrei Kirilenko,1610612751,BKN,34.0,7,3,4,0.429,5.2,0.0,0.7,0.0,0.0,0.0,0.0,0.4,0.6,0.75,0.3,0.9,1.1,0.1,0.1,0.1,0.0,0.3,0.1,0.3,0.4,-4.0,0,0,5,"1905,1610612751"
25,101106,Andrew Bogut,1610612744,GSW,30.0,67,58,9,0.866,23.6,3.0,5.3,0.563,0.0,0.0,0.0,0.3,0.6,0.524,2.1,6.0,8.1,2.7,1.6,0.6,1.7,0.3,2.8,1.1,6.3,8.0,6,0,5,"101106,1610612744"
26,203094,Andrew Nicholson,1610612753,ORL,25.0,40,14,26,0.35,12.3,2.1,4.8,0.437,0.3,1.0,0.317,0.4,0.6,0.6,0.4,1.6,2.1,0.6,0.6,0.2,0.3,0.1,1.3,0.9,4.9,-2.1,0,0,5,"203094,1610612753"
27,203952,Andrew Wiggins,1610612750,MIN,20.0,82,16,66,0.195,36.2,6.1,13.9,0.437,0.5,1.5,0.31,4.3,5.7,0.76,1.6,2.9,4.6,2.1,2.2,1.0,0.6,0.8,2.3,4.6,16.9,-6.7,2,0,5,"203952,1610612750"
28,203461,Anthony Bennett,1610612750,MIN,22.0,57,12,45,0.211,15.7,2.2,5.2,0.421,0.1,0.4,0.304,0.7,1.1,0.641,0.9,2.9,3.8,0.8,0.6,0.5,0.3,0.4,1.5,0.9,5.2,-5.2,2,0,5,"203461,1610612750"
29,203076,Anthony Davis,1610612740,NOP,22.0,68,39,29,0.574,36.1,9.4,17.6,0.535,0.0,0.2,0.083,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.4,1.5,2.9,0.8,2.1,5.5,24.4,3.9,42,0,5,"203076,1610612740"
